Name,SSN,Salary,Awards,Tax paid,Eligible for Pay raise
Antonio,61302,30000,2,YES,NO
Michael ,61303,31000,7,YES,YES
Sebastian ,61304,38000,4,YES,YES
Lewis ,61305,48000,8,NO,NO
Charles ,61306,27000,1,NO,YES
Carlos ,61307,23000,1,YES,NO
Lando,61308,38000,9,NO,NO
Fernando,61309,36500,2,YES,YES
Valtteri ,61310,15500,0,NO,NO
Esteban ,61311,6000,0,NO,YES
George ,61312,9600,1,YES,YES
Nicholas ,61313,87600,12,NO,NO
Nico ,61314,100000,1,YES,YES
Daniel ,61315,58000,8,YES,NO
Max,61316,23600,0,YES,YES
Checo ,61317,33050,0,NO,YES
Lance ,61318,17000,6,NO,YES
Mick ,61319,75600,3,YES,YES
Nikita,61320,13800,0,NO,NO
Kimi,61321,80000,1,YES,YES
